alligator
beef
biltong
cattle
chicken
goat
mutton
offal
ostrich
pheasant
pork
rabbit
sheep
veal
venison
wild boar
zwartbles sheep
salmon
fish
lamb
crab
lobster
clam
scallop
oyster
mussel
shrimp
