allspice
angelica
anise
apple mint
avocado leaf
basil
basil
basil
bay leaf
bay leaves 
boldo
bolivian coriander
borage
cardamom
catnip
celery
chervil
chicory
chives
cicely
cilantro
cinnamon
clove
common rue
common sage
coriander
coriander leaf
cress
cryptotaenia
cumin
curry
curry leaf
curry tree
cymbopogon
dill
elsholtzia ciliata
epazote
eryngium foetidum
fennel 
garden angelica
garden cress
hemp
hoja santa
horseradish
houttuynia
houttuynia cordata
hyssop
lavandula angustifolia
lavender
lemon balm
lemon grass
lemon verbena
licorice
limnophila aromatica
long coriander
lovage
mace
marjoram
mentha
mint
mitsuba
mustard
nutmeg
ocimum tenuiflorum
oregano
paprika
parsley
peppermint
perilla
rice paddy herb
rosemary
rue
saffron
sage
savory
sorrel
star anise
tarragon
thai basil
thyme
turmeric
vanilla
vietnamese coriander
wasabi
watercress
woodruff
